regional_group,metric,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci,n_users,user_pop_size_log10
4118402,artist_gini,0.644218272069642,0.6442259729185074,0.002331631121072077,0.6398445272763188,0.6487033602533359,583,2.765668554759014
4118402,genre_div_q0,234.769,235,7.348035971103614,220,249,583,2.765668554759014
4118402,genre_div_q1,29.950562623353104,29.942897236106475,0.45345052009509507,29.040436292740996,30.896960231633255,583,2.765668554759014
4118402,genre_div_q2,14.51628066176812,14.517850410965474,0.20585369344568596,14.111744353584287,14.91660003956996,583,2.765668554759014
4118402,genre_gini,0.8809535956049288,0.8809386690122611,0.0027700300951866885,0.8753689478812097,0.8859167969855489,583,2.765668554759014
4118402,ind_div,36.57159,36.57,1.1256298745655762,34.318999999999996,38.9,583,2.765668554759014
4118402,song_age,1497.4700535384304,1497.271054046726,68.39234341740354,1365.643022069346,1633.3278268022532,583,2.765668554759014
4118402,song_div_q0,6266.782,6266.5,39.91483019717946,6187,6344,583,2.765668554759014
4118402,song_div_q1,4138.545346357334,4139.211017985221,55.084213056460925,4032.940182292647,4241.753205121688,583,2.765668554759014
4118402,song_div_q2,1754.7079675660339,1753.8629094350313,57.63487180937832,1644.9884689086975,1868.390568364411,583,2.765668554759014
4118402,song_gini,0.33738540784246546,0.337311360661282,0.003412137427430836,0.33095300967042385,0.34413651622224495,583,2.765668554759014
4119152,artist_div_q0,2919.78,2920,29.40810154424179,2860,2976,558,2.7466341989375787
4119152,artist_div_q1,1263.1299991650642,1263.7779828713028,19.096125112322618,1224.299847022588,1298.7845364105217,558,2.7466341989375787
4119152,artist_div_q2,488.9692661883788,488.8334080083725,13.904894389605047,463.35819642773276,514.6873642389847,558,2.7466341989375787
4119152,artist_gini,0.5915513737877945,0.5913912906971805,0.0024986065348943124,0.5870288219823552,0.5965675381834327,558,2.7466341989375787
4119152,genre_div_q0,255.305,255,7.468718548503268,241,270,558,2.7466341989375787
4119152,genre_div_q1,35.73546442805769,35.72547341663494,0.5419838768271757,34.68253833800013,36.812062478394324,558,2.7466341989375787
4119152,genre_div_q2,16.93470345128202,16.92681151112675,0.2701979205240535,16.3872833419819,17.460763329522106,558,2.7466341989375787
4119152,genre_gini,0.8720987352575285,0.872197131696481,0.0027567348979026475,0.8665148068359053,0.8774665517334185,558,2.7466341989375787
4119152,ind_div,38.54778,38.61,1.072976397666766,36.29,40.56,558,2.7466341989375787
4119152,song_age,1658.273726479206,1658.4604506222104,75.59874071733849,1521.2282982139966,1808.8777704659155,558,2.7466341989375787
4119152,song_div_q0,6907.426,6908,39.634674609884605,6828.975,6988,558,2.7466341989375787
4119152,song_div_q1,5260.96512036147,5261.985686997461,58.64933293344282,5143.281451834538,5381.3465214655325,558,2.7466341989375787
4119152,song_div_q2,2923.631143124119,2926.8007166465195,87.45770448530725,2751.1678740089064,3095.8075099237444,558,2.7466341989375787
4119152,song_gini,0.27568983077994375,0.27557156969614816,0.00330083771782097,0.26925341987255047,0.28219122531611535,558,2.7466341989375787
4119905,artist_div_q0,2994.736,2995,33.9564035395585,2929,3062.025,3205,3.5058280338548364
4119905,artist_div_q1,1163.6716054429335,1163.3928359298593,20.357493579029526,1124.5611436807737,1202.7811304049346,3205,3.5058280338548364
4119905,artist_div_q2,398.50534720201034,398.0518435635719,11.861490315331716,375.7830409986446,423.35501667887485,3205,3.5058280338548364
4119905,artist_gini,0.6039991593963961,0.6040256598433464,0.0026740914062362707,0.5987470256456081,0.608986678016255,3205,3.5058280338548364
4119905,genre_div_q0,266.838,267,8.713304635881709,250,284,3205,3.5058280338548364
4119905,genre_div_q1,32.19224718341117,32.17943702043971,0.5505713470198903,31.142331234867108,33.33125172105145,3205,3.5058280338548364
4119905,genre_div_q2,15.101773156869523,15.080647855369048,0.24520791531306946,14.651218596696676,15.628669111621184,3205,3.5058280338548364
4119905,genre_gini,0.8833595189972422,0.8834159572810949,0.0025828657776056805,0.8777205291234911,0.8881070871100885,3205,3.5058280338548364
4119905,ind_div,38.12283,38.15,1.3516104993828812,35.3495,40.61025,3205,3.5058280338548364
4119905,song_age,1530.8678860028776,1531.8018028685228,93.9279360710307,1354.4760245687453,1713.8487867560787,3205,3.5058280338548364
4119905,song_div_q0,6892.028,6892,41.48344359008895,6808.975,6974.0250000000005,3205,3.5058280338548364
4119905,song_div_q1,5029.147202531219,5029.156582057591,63.28343801478711,4906.87969552592,5155.141777160116,3205,3.5058280338548364
4119905,song_div_q2,2483.3687889846456,2482.128698018121,85.98055128825273,2319.644723335881,2652.5696779249697,3205,3.5058280338548364
4119905,song_gini,0.28337061002020303,0.28342075482905915,0.0036008967822758983,0.2762705469774107,0.29037907751807607,3205,3.5058280338548364
4124053,artist_div_q0,2911.399,2911,30.598857643531222,2852,2970,816,2.9116901587538613
4124053,artist_div_q1,1169.1993856790543,1168.80064127642,19.320819886896086,1133.3695047105934,1205.9405555525086,816,2.9116901587538613
4124053,artist_div_q2,400.8904775623905,401.3900312504153,11.88059701895518,378.1849029851816,424.2419638025309,816,2.9116901587538613
4124053,artist_gini,0.600805627970497,0.6007274196698115,0.0025632132825117162,0.5960695141605247,0.6057126545133875,816,2.9116901587538613
4124053,genre_div_q0,252.858,253,7.9946075419466185,237.97500000000002,268,816,2.9116901587538613
4124053,genre_div_q1,33.84741970363051,33.83593355547102,0.5513079279922999,32.783333319529625,34.93112493561253,816,2.9116901587538613
4124053,genre_div_q2,15.999804652220828,15.985341114772748,0.2660528624510848,15.49564496251932,16.51444738832113,816,2.9116901587538613
4124053,genre_gini,0.8763892107776112,0.8764990228845457,0.0027900495784667105,0.8706736598724867,0.8814557140731071,816,2.9116901587538613
4124053,ind_div,38.13253,38.17,1.235271628062061,35.66925,40.55025,816,2.9116901587538613
4124053,song_age,1658.956725056271,1657.0053931556458,88.40254908260874,1495.419585812564,1837.8240518794232,816,2.9116901587538613
4124053,song_div_q0,6763.599,6764,41.077482378531414,6680,6841.0250000000005,816,2.9116901587538613
4124053,song_div_q1,4943.800773227409,4945.417662658846,59.98645991687722,4821.117602929361,5057.152472108701,816,2.9116901587538613
4124053,song_div_q2,2552.107232480183,2552.71353448716,79.02917339463784,2402.653513355503,2706.8434694518182,816,2.9116901587538613
4124053,song_gini,0.2919207880746596,0.29177621581243784,0.0034705311006577163,0.285311244607316,0.2991392740791844,816,2.9116901587538613
4125506,artist_div_q0,3114.498,3114,35.44825206656281,3047,3185.0249999999996,2367,3.374198257929083
4125506,artist_div_q1,1315.1397708124093,1314.432489743313,22.999746895333647,1269.4923658531566,1356.956703784607,2367,3.374198257929083
4125506,artist_div_q2,477.6983031286315,478.59053719639775,14.310574170474956,450.55649086440593,505.2937874318227,2367,3.374198257929083
4125506,artist_gini,0.5860164526278064,0.5860328084040842,0.002805505184009201,0.5805183040964167,0.5918188828561007,2367,3.374198257929083
4125506,genre_div_q0,270.001,270,8.51654451820282,254,286,2367,3.374198257929083
4125506,genre_div_q1,36.18867985104957,36.18218780248661,0.5813155452599614,35.071221212373594,37.36168443277906,2367,3.374198257929083
4125506,genre_div_q2,16.972633791118692,16.963623774897066,0.2820324581722041,16.420225301984114,17.53247310312268,2367,3.374198257929083
4125506,genre_gini,0.8751561717885461,0.8752588182278721,0.0027801076588890466,0.8696771980850394,0.8805709834160802,2367,3.374198257929083
4125506,ind_div,39.58666,39.56,1.3754238747510656,36.87975,42.291,2367,3.374198257929083
4125506,song_age,1638.3562960905956,1635.6019297310365,89.89539804823788,1473.994640404385,1815.4531085559518,2367,3.374198257929083
4125506,song_div_q0,7150.388,7150.5,41.736139751555385,7069.975,7230.0250000000005,2367,3.374198257929083
4125506,song_div_q1,5495.238974065254,5495.029386003634,64.55812447848815,5364.060959790588,5624.287803980021,2367,3.374198257929083
4125506,song_div_q2,3039.7946184457037,3038.128538074442,101.08183395554839,2846.5496316551535,3241.3440387203495,2367,3.374198257929083
4125506,song_gini,0.25888407497053273,0.2589547293804684,0.0035619332008608425,0.2518451035172468,0.26582499904819484,2367,3.374198257929083
4126256,artist_div_q0,2585.415,2585,28.651835939476946,2530.95,2639,571,2.756636108245848
4126256,artist_div_q1,954.2139757450288,954.3317571486884,15.44279984507426,925.8562967265176,983.314485862652,571,2.756636108245848
4126256,artist_div_q2,338.67594918747614,338.4844314042208,8.772689913789002,322.16368277360004,355.40767462163456,571,2.756636108245848
4126256,artist_gini,0.6321872080747206,0.6322217733454727,0.0023627879316982492,0.6275640063198233,0.6368144639947734,571,2.756636108245848
4126256,genre_div_q0,240.146,240,7.0559528393031705,227,255,571,2.756636108245848
4126256,genre_div_q1,30.943601978504166,30.940790617270263,0.46017200732192015,30.00988341111022,31.83584688937134,571,2.756636108245848
4126256,genre_div_q2,14.761620671417939,14.757908778448948,0.21965184362236256,14.327823450881404,15.191618674962463,571,2.756636108245848
4126256,genre_gini,0.8810115231127031,0.8811259756835695,0.0025796586856527037,0.875932020290914,0.8857277444696035,571,2.756636108245848
4126256,ind_div,36.62842,36.595,1.0599805008877579,34.61875,38.781000000000006,571,2.756636108245848
4126256,song_age,1471.0362282524143,1472.0971958320856,68.88288589658384,1330.36155798873,1606.9692757244013,571,2.756636108245848
4126256,song_div_q0,6437.237,6436,40.10100898882623,6362.975,6518,571,2.756636108245848
4126256,song_div_q1,4421.258800407198,4421.04132744507,55.811036836721904,4311.799973587533,4532.547174506631,571,2.756636108245848
4126256,song_div_q2,2057.3154021808,2056.174706511015,59.909565674857475,1944.6097374190126,2175.0525822975046,571,2.756636108245848
4126256,song_gini,0.3220937427935671,0.32205142273935555,0.003454117369226215,0.3150844100700722,0.328732200619044,571,2.756636108245848
4127700,artist_div_q0,2819.518,2820,30.618804470246502,2758,2883,746,2.8727388274726686
4127700,artist_div_q1,1065.2582684378133,1064.6681859633375,18.10231910340435,1031.241440007864,1101.6503133199647,746,2.8727388274726686
4127700,artist_div_q2,353.43874108499296,352.804527351415,9.931106932001773,333.7829705560985,373.09065657590895,746,2.8727388274726686
4127700,artist_gini,0.6139450394182714,0.6140026682501949,0.0025539510146004377,0.6088591371550662,0.6187485685359304,746,2.8727388274726686
4127700,genre_div_q0,257.198,257,7.684910790233928,242,272,746,2.8727388274726686
4127700,genre_div_q1,31.260733927370406,31.246706852610547,0.5066445636949933,30.272219593809794,32.274060715942795,746,2.8727388274726686
4127700,genre_div_q2,14.799770773362175,14.800824437453016,0.22178625891296286,14.365235716003665,15.237466622499534,746,2.8727388274726686
4127700,genre_gini,0.8829249879708669,0.8829875117002044,0.002465292592309618,0.878064076328338,0.8876280590369073,746,2.8727388274726686
4127700,ind_div,36.72187,36.72,1.2301157619866059,34.279500000000006,39.1,746,2.8727388274726686
4127700,song_age,1490.335819346198,1491.3657536763415,75.87992671718594,1342.1389162334533,1641.7975758141145,746,2.8727388274726686
4127700,song_div_q0,6632.34,6632,40.31972321432874,6553.950000000001,6710.0250000000005,746,2.8727388274726686
4127700,song_div_q1,4620.946117311632,4620.908149669908,59.83749408173311,4501.007886296467,4738.2502759598865,746,2.8727388274726686
4127700,song_div_q2,2087.183333952482,2087.8134339016988,70.73451101096587,1952.5148391127773,2225.4887452545163,746,2.8727388274726686
4127700,song_gini,0.306082779691022,0.3061922981300057,0.0034838159953033956,0.2995225598161145,0.31299464824645756,746,2.8727388274726686
4128104,artist_div_q0,2604.096,2604,28.847998041302468,2549,2664,633,2.801403710017355
4128104,artist_div_q1,884.1584585335086,884.3703143855159,15.544953910919201,854.1967262432353,915.5495682709256,633,2.801403710017355
4128104,artist_div_q2,267.4981635266208,267.56780558258936,7.559190558227723,253.3006947967737,282.2376936740336,633,2.801403710017355
4128104,artist_gini,0.6374296239737712,0.6373410388930192,0.0024468309149084017,0.632545497340028,0.6421212875966005,633,2.801403710017355
4128104,genre_div_q0,240.665,240,7.4607263344420724,226.97500000000002,257,633,2.801403710017355
4128104,genre_div_q1,30.43962227907859,30.435065000535737,0.47261517569509165,29.512509126021406,31.422131742195294,633,2.801403710017355
4128104,genre_div_q2,15.11813130598103,15.10830376109097,0.22660457499598152,14.699548249707702,15.570810328384223,633,2.801403710017355
4128104,genre_gini,0.8838430211621101,0.8839258938366097,0.00261507016990494,0.8785783653452425,0.8887106332765524,633,2.801403710017355
4128104,ind_div,36.24031,36.31,1.2196228448925446,33.59975,38.51,633,2.801403710017355
4128104,song_age,1445.5832342202868,1445.4207849992638,73.9372395464273,1299.5730832067015,1592.5857319855122,633,2.801403710017355
4128104,song_div_q0,6312.317,6313,41.14755925486507,6236,6389.025,633,2.801403710017355
4128104,song_div_q1,4220.582633195706,4219.849196998097,56.605231425335326,4112.17207332412,4328.081005005516,633,2.801403710017355
4128104,song_div_q2,1878.5847423880557,1880.7952008759598,58.146576268754394,1767.1559923761051,1991.1929758262095,633,2.801403710017355
4128104,song_gini,0.3334459197692766,0.33328102102600715,0.003509300857266288,0.32686888395470165,0.34023924869884964,633,2.801403710017355
4202305,artist_div_q0,2694.392,2693,28.57374310087488,2637,2749.0249999999996,477,2.678518379040114
4202305,artist_div_q1,1070.3842966585592,1070.0602562502852,16.48398748777632,1037.0943238384098,1102.0742415433594,477,2.678518379040114
4202305,artist_div_q2,389.7620652087038,389.59591488654274,10.831397130717129,369.0077458793011,410.75752458901724,477,2.678518379040114
4202305,artist_gini,0.615675772373277,0.6156486022422227,0.002386389926334754,0.6111785628906725,0.620129219608293,477,2.678518379040114
4202305,genre_div_q0,244.636,244,7.014749511615558,231.975,259,477,2.678518379040114
4202305,genre_div_q1,33.55333761659085,33.55215463074359,0.5059535657141129,32.58888713911967,34.53579266066756,477,2.678518379040114
4202305,genre_div_q2,16.00226410237731,16.006539172421807,0.24478799332561335,15.532353454555274,16.483069151361974,477,2.678518379040114
4202305,genre_gini,0.875105739582497,0.8751987236153218,0.002744586814738115,0.8694981819116987,0.8803332007930993,477,2.678518379040114
4202305,ind_div,36.32396,36.29,0.9988978502906668,34.449250000000006,38.2515,477,2.678518379040114
4202305,song_age,1449.366311515558,1447.0318139633396,63.3171666553417,1327.2182407606438,1578.0740464660375,477,2.678518379040114
4202305,song_div_q0,6617.678,6617,39.805537263008986,6537,6695.025,477,2.678518379040114
4202305,song_div_q1,4769.861042796672,4769.7075881303235,57.773527271940274,4650.822411713748,4876.973479691827,477,2.678518379040114
4202305,song_div_q2,2343.922810178534,2342.688469287354,74.38034266390042,2194.093971279696,2487.8252091551776,477,2.678518379040114
4202305,song_gini,0.3019152049116583,0.3020082232498573,0.0033583999080125846,0.295294216803819,0.3089346506532739,477,2.678518379040114
4202404,artist_div_q0,3362.738,3362,33.96266801679189,3295.9750000000004,3431,2751,3.4394905903896835
4202404,artist_div_q1,1536.4412169058878,1536.0373477149274,23.87710473987528,1489.9563724476186,1584.188048049378,2751,3.4394905903896835
4202404,artist_div_q2,590.7955580060836,590.8025640352604,17.33127184605348,556.8171439544174,626.671284920152,2751,3.4394905903896835
4202404,artist_gini,0.5624239648856884,0.5625193557077584,0.002642446090790749,0.5571738354192535,0.567290454347288,2751,3.4394905903896835
4202404,genre_div_q0,296.879,297,8.89648843682194,280,314,2751,3.4394905903896835
4202404,genre_div_q1,38.287731514440054,38.256489741422456,0.6516710542311014,37.02566050145561,39.61075792283444,2751,3.4394905903896835
4202404,genre_div_q2,16.598958687692193,16.59274038868395,0.3024288855555532,16.01132462203497,17.195334534957038,2751,3.4394905903896835
4202404,genre_gini,0.8733693023870869,0.8734056241769768,0.0025675493552100165,0.8681317080420442,0.8782102639488414,2751,3.4394905903896835
4202404,ind_div,40.16828,40.18,1.3374186817636164,37.59875,42.91049999999999,2751,3.4394905903896835
4202404,song_age,1725.3822298478883,1726.6220667934263,85.93596940792258,1556.8333821500325,1887.9960866051533,2751,3.4394905903896835
4202404,song_div_q0,7409.244,7408,40.823044778470226,7329.95,7487,2751,3.4394905903896835
4202404,song_div_q1,5905.416196168522,5905.853335833122,66.33956715433987,5775.830765507582,6030.327261346845,2751,3.4394905903896835
4202404,song_div_q2,3494.418964787176,3496.2590028669324,114.74827908963528,3274.919848117596,3706.57991449551,2751,3.4394905903896835
4202404,song_gini,0.23580157951291275,0.2358923558011453,0.003542077207702311,0.22914109775510058,0.24283640500523623,2751,3.4394905903896835
4202909,artist_div_q0,2905.844,2905.5,30.15249304513371,2845.975,2965.075,445,2.6483600109809315
4202909,artist_div_q1,1252.6885306691856,1252.7551853345008,18.702750362056452,1216.6539160212985,1290.8928464987016,445,2.6483600109809315
4202909,artist_div_q2,523.3424463053524,523.0118145984768,12.548553083405045,498.40569941874764,548.1984119616774,445,2.6483600109809315
4202909,artist_gini,0.5960993647875299,0.5960466334236891,0.002393326649434969,0.5915001486391559,0.6009162732852817,445,2.6483600109809315
4202909,genre_div_q0,266.145,266,7.021486756825528,252,280,445,2.6483600109809315
4202909,genre_div_q1,37.24837915018642,37.25327433826112,0.5634069471280161,36.18334880072142,38.43448244180101,445,2.6483600109809315
4202909,genre_div_q2,16.40422304394639,16.402089974783976,0.2623074648562727,15.90645189690206,16.95860390329521,445,2.6483600109809315
4202909,genre_gini,0.8660176479230353,0.8661446634524499,0.002694596109847354,0.860636604794881,0.8710702862509808,445,2.6483600109809315
4202909,ind_div,39.32661,39.315,0.9846788310410153,37.38975000000001,41.242000000000004,445,2.6483600109809315
4202909,song_age,1674.1926563682944,1673.000599416257,66.33958719960576,1546.4020828027583,1807.7221685349598,445,2.6483600109809315
