muni_code,muni_name,state_code,state_name,state_type,country,country_code,regional_group,regional_group_name
03151036,Wahrenholz,DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151037,Wasbüttel,DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151038,Wesendorf,DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151039,Weyhausen,DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151040,"Wittingen, Stadt",DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151041,Didderse,DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03151501,"Giebel, gemfr. Gebiet",DE914,Gifhorn,NUTS3,Germany,DE,DE914,Gifhorn
03153002,"Bad Harzburg, Stadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153006,Hahausen,DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153007,"Langelsheim, Stadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153008,Liebenburg,DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153009,"Lutter am Barenberge, Flecken",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153012,"Seesen, Stadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153014,Wallmoden,DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03256027,Rohrsen,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256028,Schweringen,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256029,Steimbke,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256030,"Steyerberg, Flecken",DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256031,Stöckse,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256032,Stolzenau,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256033,"Uchte, Flecken",DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256034,Warmsen,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256035,Warpe,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03256036,Wietzen,DE927,Nienburg (Weser),NUTS3,Germany,DE,DE927,Nienburg (Weser)
03257001,Ahnsen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257002,Apelern,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257003,Auetal,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257004,Auhagen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257005,Bad Eilsen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257006,"Bad Nenndorf, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257007,Beckedorf,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257008,Buchholz,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257009,"Bückeburg, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257010,"Hagenburg, Flecken",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257011,Haste,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257012,Heeßen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257013,Helpsen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03359023,"Harsefeld, Flecken",DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359024,Heinbockel,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359025,Himmelpforten,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359026,Hollern-Twielenfleth,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359027,"Horneburg, Flecken",DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359028,Jork,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359029,Kranenburg,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359030,Krummendeich,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359031,Kutenholz,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359032,Mittelnkirchen,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359033,Neuenkirchen,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359034,Nottensdorf,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359035,Oederquart,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359036,Oldendorf,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359037,Sauensiek,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359038,"Stade, Hansestadt",DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359039,Steinkirchen,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03359040,Wischhafen,DE939,Stade,NUTS3,Germany,DE,DE939,Stade
03360001,Altenmedingen,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360002,"Bad Bevensen, Stadt",DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360003,Barum,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360004,Bienenbüttel,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
05154024,"Kalkar, Stadt",DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154028,Kerken,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154032,"Kevelaer, Stadt",DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154036,"Kleve, Stadt",DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154040,Kranenburg,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154044,"Rees, Stadt",DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154048,Rheurdt,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154052,"Straelen, Stadt",DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154056,Uedem,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154060,Wachtendonk,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05154064,Weeze,DEA1B,Kleve,NUTS3,Germany,DE,DEA1B,Kleve
05158004,"Erkrath, Fundort des Neanderthalers, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158008,"Haan, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158012,"Heiligenhaus, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158016,"Hilden, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158020,"Langenfeld (Rheinland), Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158024,"Mettmann, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158026,"Monheim am Rhein, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158028,"Ratingen, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158032,"Velbert, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
05158036,"Wülfrath, Stadt",DEA1C,Mettmann,NUTS3,Germany,DE,DEA1C,Mettmann
03153016,"Braunlage, Stadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153017,"Goslar, Stadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153018,"Clausthal-Zellerfeld, Berg- und Universitätsstadt",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03153504,"Harz (Landkreis Goslar), gemfr. Gebiet",DE916,Goslar,NUTS3,Germany,DE,DE916,Goslar
03154001,Bahrdorf,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154002,Beierstedt,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154004,Danndorf,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154005,Frellstedt,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154006,Gevensleben,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154007,Grafhorst,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03257014,Hespe,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257015,Heuerßen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257016,Hohnhorst,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257017,Hülsede,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257018,"Lauenau, Flecken",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257019,Lauenhagen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257020,Lindhorst,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257021,Lüdersfeld,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257022,Luhden,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257023,Meerbeck,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257024,Messenkamp,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257025,Niedernwöhren,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257026,Nienstädt,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257027,Nordsehl,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257028,"Obernkirchen, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257029,Pohle,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257030,Pollhagen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257031,"Rinteln, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257032,"Rodenberg, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257033,"Sachsenhagen, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257034,Seggebruch,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257035,"Stadthagen, Stadt",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257036,Suthfeld,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257037,"Wiedensahl, Flecken",DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03257038,Wölpinghausen,DE928,Schaumburg,NUTS3,Germany,DE,DE928,Schaumburg
03351001,Adelheidsdorf,DE931,Celle,NUTS3,Germany,DE,DE931,Celle
03360005,"Bad Bodenteich, Flecken",DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360006,"Ebstorf,Klosterflecken",DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360007,Eimke,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360008,Emmendorf,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360009,Gerdau,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360010,Hanstedt,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360011,Himbergen,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360012,Jelmstorf,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360013,Lüder,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360014,Natendorf,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360015,Oetzen,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360016,Rätzlingen,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360017,Römstedt,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360018,Rosche,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360019,Schwienau,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360020,Soltendieck,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360022,Stoetze,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360023,Suderburg,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
03360024,Suhlendorf,DE93A,Uelzen,NUTS3,Germany,DE,DE93A,Uelzen
05162004,"Dormagen, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162008,"Grevenbroich, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162012,"Jüchen, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
